GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
337,118,4,4.5,4.5,9.65,1,5
324,107,4,4,4.5,8.87,1,4
316,104,3,3,3.5,8,1,4
322,110,3,3.5,2.5,8.67,1,4
314,103,2,2,3,8.21,0,4
330,115,5,4.5,3,9.34,1,5
321,109,3,3,4,8.2,1,4
308,101,2,3,4,7.9,0,4
302,102,1,2,1.5,8,0,3
323,108,3,3.5,3,8.6,0,3
325,106,3,3.5,4,8.4,1,3
327,111,4,4,4.5,9,1,5
328,112,4,4,4.5,9.1,1,4
307,109,3,4,3,8,1,4
311,104,3,3.5,2,8.2,1,4
314,105,3,3.5,2.5,8.3,0,3
317,107,3,4,3,8.7,0,4
319,106,3,4,3,8,1,4
318,110,3,4,3,8.8,0,4
303,102,3,3.5,3,8.5,0,4
312,107,3,3,2,7.9,1,4
325,114,4,3,2,8.4,0,4
328,116,5,5,5,9.5,1,5
334,119,5,5,4.5,9.7,1,5
336,119,5,4,3.5,9.8,1,5
340,120,5,4.5,4.5,9.6,1,5
322,109,5,4.5,3.5,8.8,0,4
298,98,2,1.5,2.5,7.5,1,3
295,93,1,2,2,7.2,0,3
310,99,2,1.5,2,7.3,0,3
300,97,2,3,3,8.1,1,4
327,103,3,4,4,8.3,1,4
338,118,4,3,4.5,9.4,1,5
340,114,5,4,4,9.6,1,5
331,112,5,4,5,9.8,1,5
320,110,5,5,5,9.2,1,5
299,106,2,4,4,8.4,0,4
300,105,1,1,2,7.8,0,3
304,105,1,3,1.5,7.5,0,3
307,108,2,4,3.5,7.7,0,3
308,110,3,3.5,3,8,1,3
316,105,2,2.5,2.5,8.2,1,3
313,107,2,2.5,2,8.5,1,3
332,117,4,4.5,4,9.1,0,5
326,113,5,4.5,4,9.4,1,5
322,110,5,5,4,9.1,1,5
329,114,5,4,5,9.3,1,5
339,119,5,4.5,4,9.7,0,5
321,110,3,3.5,5,8.85,1,5
327,111,4,3,4,8.4,1,4
313,98,3,2.5,4.5,8.3,1,4
312,100,2,1.5,3.5,7.9,1,3
334,116,4,4,3,8,1,4
324,112,4,4,2.5,8.1,1,4
322,110,3,3,3.5,8,0,4
320,103,3,3,3,7.7,0,4
316,102,3,2,3,7.4,0,4
298,99,2,4,2,7.6,0,3
300,99,1,3,2,6.8,1,2
311,104,2,2,2,8.3,0,3
309,100,2,3,3,8.1,0,3
307,101,3,4,3,8.2,0,3
304,105,2,3,3,8.2,1,3
315,107,2,4,3,8.5,1,3
325,111,3,3,3.5,8.7,0,3
325,112,4,3.5,3.5,8.92,0,3
327,114,3,3,3,9.02,0,4
316,107,2,3.5,3.5,8.64,1,3
318,109,3,3.5,4,9.22,1,4
328,115,4,4.5,4,9.16,1,4
332,118,5,5,5,9.64,1,5
336,112,5,5,5,9.76,1,5
321,111,5,5,5,9.45,1,5
314,108,4,4.5,4,9.04,1,5
314,106,3,3,5,8.9,0,4
329,114,2,2,4,8.56,1,4
327,112,3,3,3,8.72,1,4
301,99,2,3,2,8.22,0,4
296,95,2,3,2,7.54,1,3
294,93,1,1.5,2,7.36,0,3
312,105,3,2,3,8.02,1,3
340,120,4,5,5,9.5,1,5
320,110,5,5,4.5,9.22,1,5
322,115,5,4,4.5,9.36,1,5
340,115,5,4.5,4.5,9.45,1,5
319,103,4,4.5,3.5,8.66,0,4
315,106,3,4.5,3.5,8.42,0,4
317,107,2,3.5,3,8.28,0,4
314,108,3,4.5,3.5,8.14,0,4
316,109,4,4.5,3.5,8.76,1,4
318,106,2,4,4,7.92,1,4
299,97,3,5,3.5,7.66,0,2
298,98,2,4,3,8.03,0,2
301,97,2,3,3,7.88,1,3
303,99,3,2,2.5,7.66,0,2
304,100,4,1.5,2.5,7.84,0,3
306,100,2,3,3,8,0,3
331,120,3,4,4,8.96,1,5
332,119,4,5,4.5,9.24,1,5
323,113,3,4,4,8.88,1,4
322,107,3,3.5,3.5,8.46,1,4
312,105,2,2.5,3,8.12,0,4
314,106,2,4,3.5,8.25,0,4
317,104,2,4.5,4,8.47,0,3
326,112,3,3.5,3,9.05,1,4
316,110,3,4,4.5,8.78,1,4
329,111,4,4.5,4.5,9.18,1,5
338,117,4,3.5,4.5,9.46,1,5
331,116,5,5,5,9.38,1,5
304,103,5,5,4,8.64,0,4
305,108,5,3,3,8.48,0,4
321,109,4,4,4,8.68,1,4
301,107,3,3.5,3.5,8.34,1,4
320,110,2,4,3.5,8.56,0,4
311,105,3,3.5,3,8.45,1,3
310,106,4,4.5,4.5,9.04,1,4
299,102,3,4,3.5,8.62,0,3
290,104,4,2,2.5,7.46,0,3
296,99,2,3,3.5,7.28,0,3
327,104,5,3,3.5,8.84,1,4
335,117,5,5,5,9.56,1,5
334,119,5,4.5,4.5,9.48,1,5
310,106,4,1.5,2.5,8.36,0,3
308,108,3,3.5,3.5,8.22,0,4
301,106,4,2.5,3,8.47,0,3
300,100,3,2,3,8.66,1,4
323,113,3,4,3,9.32,1,5
319,112,3,2.5,2,8.71,1,4
326,112,3,3.5,3,9.1,1,5
333,118,5,5,5,9.35,1,5
339,114,5,4,4.5,9.76,1,5
303,105,5,5,4.5,8.65,0,4
309,105,5,3.5,3.5,8.56,0,4
323,112,5,4,4.5,8.78,0,4
333,113,5,4,4,9.28,1,5
314,109,4,3.5,4,8.77,1,5
312,103,3,5,4,8.45,0,4
316,100,2,1.5,3,8.16,1,4
326,116,2,4.5,3,9.08,1,4
318,109,1,3.5,3.5,9.12,0,4
329,110,2,4,3,9.15,1,5
332,118,2,4.5,3.5,9.36,1,5
331,115,5,4,3.5,9.44,1,5
340,120,4,4.5,4,9.92,1,5
325,112,2,3,3.5,8.96,1,4
320,113,2,2,2.5,8.64,1,5
315,105,3,2,2.5,8.48,0,4
326,114,3,3,3,9.11,1,5
339,116,4,4,3.5,9.8,1,5
311,106,2,3.5,3,8.26,1,4
334,114,4,4,4,9.43,1,5
332,116,5,5,5,9.28,1,5
321,112,5,5,5,9.06,1,5
324,105,3,3,4,8.75,0,4
326,108,3,3,3.5,8.89,0,4
312,109,3,3,3,8.69,0,4
315,105,3,2,2.5,8.34,0,4
309,104,2,2,2.5,8.26,0,4
306,106,2,2,2.5,8.14,0,4
297,100,1,1.5,2,7.9,0,3
315,103,1,1.5,2,7.86,0,3
298,99,1,1.5,3,7.46,0,3
318,109,3,3,3,8.5,0,4
317,105,3,3.5,3,8.56,0,4
329,111,4,4.5,4,9.01,1,5
322,110,5,4.5,4,8.97,0,4
302,102,3,3.5,5,8.33,0,4
313,102,3,2,3,8.27,0,4
293,97,2,2,4,7.8,1,4
311,99,2,2.5,3,7.98,0,4
312,101,2,2.5,3.5,8.04,1,4
334,117,5,4,4.5,9.07,1,5
322,110,4,4,5,9.13,1,5
323,113,4,4,4.5,9.23,1,5
321,111,4,4,4,8.97,1,5
320,111,4,4.5,3.5,8.87,1,5
329,119,4,4.5,4.5,9.16,1,5
319,110,3,3.5,3.5,9.04,0,5
309,108,3,2.5,3,8.12,0,4
307,102,3,3,3,8.27,0,4
300,104,3,3.5,3,8.16,0,4
305,107,2,2.5,2.5,8.42,0,4
299,100,2,3,3.5,7.88,0,4
314,110,3,4,4,8.8,0,4
316,106,2,2.5,4,8.32,0,4
327,113,4,4.5,4.5,9.11,1,5
317,107,3,3.5,3,8.68,1,5
335,118,5,4.5,3.5,9.44,1,5
331,115,5,4.5,3.5,9.36,1,5
324,112,5,5,5,9.08,1,5
324,111,5,4.5,4,9.16,1,5
323,110,5,4,5,8.98,1,5
322,114,5,4.5,4,8.94,1,5
336,118,5,4.5,5,9.53,1,5
316,109,3,3.5,3,8.76,0,4
307,107,2,3,3.5,8.52,1,4
306,105,2,3,2.5,8.26,0,4
310,106,2,3.5,2.5,8.33,0,4
311,104,3,4.5,4.5,8.43,0,4
313,107,3,4,4.5,8.69,0,4
317,103,3,2.5,3,8.54,1,4
315,110,2,3.5,3,8.46,1,4
340,120,5,4.5,4.5,9.91,1,5
334,120,5,4,5,9.87,1,5
298,105,3,3.5,4,8.54,0,4
295,99,2,2.5,3,7.65,0,3
315,99,2,3.5,3,7.89,0,4
310,102,3,3.5,4,8.02,1,4
305,106,2,3,3,8.16,0,4
301,104,3,3.5,4,8.12,1,4
325,108,4,4.5,4,9.06,1,4
328,110,4,5,4,9.14,1,5
338,120,4,5,5,9.66,1,5
333,119,5,5,4.5,9.78,1,5
331,117,4,4.5,5,9.42,1,5
330,116,5,5,4.5,9.36,1,5
322,112,4,4.5,4.5,9.26,1,5
321,109,4,4,4,9.13,1,5
324,110,4,3,3.5,8.97,1,5
312,104,3,3.5,3.5,8.42,0,4
313,103,3,4,4,8.75,0,4
316,110,3,3.5,4,8.56,0,4
324,113,4,4.5,4,8.79,0,4
308,109,2,3,4,8.45,0,4
305,105,2,3,2,8.23,0,4
296,99,2,2.5,2.5,8.03,0,4
306,110,2,3.5,4,8.45,0,4
312,110,2,3.5,3,8.53,0,4
318,112,3,4,3.5,8.67,0,4
324,111,4,3,3,9.01,1,5
313,104,3,4,4.5,8.65,0,4
319,106,3,3.5,2.5,8.33,1,4
312,107,2,2.5,3.5,8.27,0,4
304,100,2,2.5,3.5,8.07,0,4
330,113,5,5,4,9.31,1,5
326,111,5,4.5,4,9.23,1,5
325,112,4,4,4.5,9.17,1,5
329,114,5,4.5,5,9.19,1,5
310,104,3,2,3.5,8.37,0,4
299,100,1,1.5,2,7.89,0,3
296,101,1,2.5,3,7.68,0,3
317,103,2,2.5,2,8.15,0,4
324,115,3,3.5,3,8.76,1,4
325,114,3,3.5,3,9.04,1,4
314,107,2,2.5,4,8.56,0,4
328,110,4,4,2.5,9.02,1,5
316,105,3,3,3.5,8.73,0,4
311,104,2,2.5,3.5,8.48,0,4
324,110,3,3.5,4,8.87,1,4
321,111,3,3.5,4,8.83,1,4
320,104,3,3,2.5,8.57,1,4
316,99,2,2.5,3,9,0,4
318,100,2,2.5,3.5,8.54,1,4
335,115,4,4.5,4.5,9.68,1,5
321,114,4,4,5,9.12,0,5
307,110,4,4,4.5,8.37,0,4
309,99,3,4,4,8.56,0,4
324,100,3,4,5,8.64,1,4
326,102,4,5,5,8.76,1,4
331,119,4,5,4.5,9.34,1,5
327,108,5,5,3.5,9.13,1,5
312,104,3,3.5,4,8.09,0,4
308,103,2,2.5,4,8.36,1,4
324,111,3,2.5,1.5,8.79,1,4
325,110,2,3,2.5,8.76,1,4
313,102,3,2.5,2.5,8.68,0,4
312,105,2,2,2.5,8.45,0,4
314,107,3,3,3.5,8.17,1,4
327,113,4,4.5,5,9.14,0,5
308,108,4,4.5,5,8.34,0,4
306,105,2,2.5,3,8.22,1,4
299,96,2,1.5,2,7.86,0,3
294,95,1,1.5,1.5,7.64,0,3
312,99,1,1,1.5,8.01,1,3
315,100,1,2,2.5,7.95,0,3
322,110,3,3.5,3,8.96,1,4
329,113,5,5,4.5,9.45,1,5
320,101,2,2.5,3,8.62,0,4
308,103,2,3,3.5,8.49,0,4
304,102,2,3,4,8.73,0,4
311,102,3,4.5,4,8.64,1,4
317,110,3,4,4.5,9.11,1,4
312,106,3,4,3.5,8.79,1,5
321,111,3,2.5,3,8.9,1,4
340,112,4,5,4.5,9.66,1,5
331,116,5,4,4,9.26,1,5
336,118,5,4.5,4,9.19,1,5
324,114,5,5,4.5,9.08,1,5
314,104,4,5,5,9.02,0,5
313,109,3,4,3.5,9,0,4
307,105,2,2.5,3,7.65,0,3
300,102,2,1.5,2,7.87,0,3
302,99,2,1,2,7.97,0,3
312,98,1,3.5,3,8.18,1,4
316,101,2,2.5,2,8.32,1,4
317,100,2,3,2.5,8.57,0,4
310,107,3,3.5,3.5,8.67,0,4
320,120,3,4,4.5,9.11,0,5
330,114,3,4.5,4.5,9.24,1,5
305,112,3,3,3.5,8.65,0,4
309,106,2,2.5,2.5,8,0,4
319,108,2,2.5,3,8.76,0,4
322,105,2,3,3,8.45,1,4
323,107,3,3.5,3.5,8.55,1,4
313,106,2,2.5,2,8.43,0,4
321,109,3,3.5,3.5,8.8,1,4
323,110,3,4,3.5,9.1,1,4
325,112,4,4,4,9,1,4
312,108,3,3.5,3,8.53,0,4
308,110,4,3.5,3,8.6,0,4
320,104,3,3,3.5,8.74,1,4
328,108,4,4.5,4,9.18,1,5
311,107,4,4.5,4.5,9,1,4
301,100,3,3.5,3,8.04,0,4
305,105,2,3,4,8.13,0,4
308,104,2,2.5,3,8.07,0,4
298,101,2,1.5,2,7.86,0,3
300,99,1,1,2.5,8.01,0,3
324,111,3,2.5,2,8.8,1,4
327,113,4,3.5,3,8.69,1,4
317,106,3,4,3.5,8.5,1,4
323,104,3,4,4,8.44,1,4
314,107,2,2.5,4,8.27,0,4
305,102,2,2,2.5,8.18,0,4
315,104,3,3,2.5,8.33,0,4
326,116,3,3.5,4,9.14,1,5
299,100,3,2,2,8.02,0,4
295,101,2,2.5,2,7.86,0,4
324,112,4,4,3.5,8.77,1,4
297,96,2,2.5,1.5,7.89,0,3
327,113,3,3.5,3,8.66,1,4
311,105,2,3,2,8.12,1,4
308,106,3,3.5,2.5,8.21,1,4
319,108,3,3,3.5,8.54,1,4
312,107,4,4.5,4,8.65,1,4
325,111,4,4,4.5,9.11,1,5
319,110,3,3,2.5,8.79,0,4
332,118,5,5,5,9.47,1,5
323,108,5,4,4,8.74,1,5
324,107,5,3.5,4,8.66,1,5
312,107,3,3,3,8.46,1,4
326,110,3,3.5,3.5,8.76,1,4
308,106,3,3,3,8.24,0,3
305,103,2,2.5,3.5,8.13,0,3
295,96,2,1.5,2,7.34,0,3
316,98,1,1.5,2,7.43,0,3
304,97,2,1.5,2,7.64,0,3
299,94,1,1,1,7.34,0,3
302,99,1,2,2,7.25,0,3
313,101,3,2.5,3,8.04,0,4
318,107,3,3,3.5,8.27,1,4
325,110,4,3.5,4,8.67,1,4
303,100,2,3,3.5,8.06,1,4
300,102,3,3.5,2.5,8.17,0,4
297,98,2,2.5,3,7.67,0,3
317,106,2,2,3.5,8.12,0,4
327,109,3,3.5,4,8.77,1,4
301,104,2,3.5,3.5,7.89,1,4
314,105,2,2.5,2,7.64,0,4
321,107,2,2,1.5,8.44,0,5
322,110,3,4,5,8.64,1,5
334,116,4,4,3.5,9.54,1,5
338,115,5,4.5,5,9.23,1,5
306,103,2,2.5,3,8.36,0,4
313,102,3,3.5,4,8.9,1,4
330,114,4,4.5,3,9.17,1,5
320,104,3,3.5,4.5,8.34,1,4
311,98,1,1,2.5,7.46,0,3
298,92,1,2,2,7.88,0,3
301,98,1,2,3,8.03,1,4
310,103,2,2.5,2.5,8.24,0,4
324,110,3,3.5,3,9.22,1,5
336,119,4,4.5,4,9.62,1,5
321,109,3,3,3,8.54,1,4
315,105,2,2,2.5,7.65,0,2
304,101,2,2,2.5,7.66,0,2
297,96,2,2.5,2,7.43,0,2
290,100,1,1.5,2,7.56,0,3
303,98,1,2,2.5,7.65,0,3
311,99,1,2.5,3,8.43,1,4
322,104,3,3.5,4,8.84,1,4
319,105,3,3,3.5,8.67,1,4
324,110,4,4.5,4,9.15,1,5
300,100,3,3,3.5,8.26,0,4
340,113,4,5,5,9.74,1,5
335,117,5,5,5,9.82,1,5
302,101,2,2.5,3.5,7.96,0,3
307,105,2,2,3.5,8.1,0,3
296,97,2,1.5,2,7.8,0,3
320,108,3,3.5,4,8.44,1,4
314,102,2,2,2.5,8.24,0,4
318,106,3,2,3,8.65,0,4
326,112,4,4,3.5,9.12,1,5
317,104,2,3,3,8.76,0,4
329,111,4,4.5,4,9.23,1,5
324,110,3,3.5,3.5,9.04,1,5
325,107,3,3,3.5,9.11,1,5
330,116,4,5,4.5,9.45,1,5
312,103,3,3.5,4,8.78,0,4
333,117,4,5,4,9.66,1,5
304,100,2,3.5,3,8.22,0,4
315,105,2,3,3,8.34,0,4
324,109,3,3.5,3,8.94,1,4
330,116,4,4,3.5,9.23,1,5
311,101,3,2,2.5,7.64,1,4
302,99,3,2.5,3,7.45,0,3
322,103,4,3,2.5,8.02,1,4
298,100,3,2.5,4,7.95,1,3
297,101,3,2,4,7.67,1,3
300,98,1,2,2.5,8.02,0,4
301,96,1,3,4,7.56,0,3
313,94,2,2.5,1.5,8.13,0,3
314,102,4,2.5,2,7.88,1,3
317,101,3,3,2,7.94,1,3
321,110,4,3.5,4,8.35,1,4
327,106,4,4,4.5,8.75,1,4
315,104,3,4,2.5,8.1,0,4
316,103,3,3.5,2,7.68,0,3
309,111,2,2.5,4,8.03,0,3
308,102,2,2,3.5,7.98,1,3
299,100,3,2,3,7.42,0,3
321,112,3,3,4.5,8.95,1,4
322,112,4,3.5,2.5,9.02,1,4
334,119,5,4.5,5,9.54,1,5
325,114,5,4,5,9.46,1,5
323,111,5,4,5,9.86,1,5
312,106,3,3,5,8.57,0,4
310,101,3,3.5,5,8.65,1,4
316,103,2,2,4.5,8.74,0,4
340,115,5,5,4.5,9.06,1,5
311,104,3,4,3.5,8.13,1,4
320,112,2,3.5,3.5,8.78,1,4
324,112,4,4.5,4,9.22,1,5
316,111,4,4,5,8.54,0,4
306,103,3,3.5,3,8.21,0,4
309,105,2,2.5,4,7.68,0,3
310,110,1,1.5,4,7.23,1,3
317,106,1,1.5,3.5,7.65,1,4
318,110,1,2.5,3.5,8.54,1,4
312,105,2,1.5,3,8.46,0,4
305,104,2,2.5,1.5,7.79,0,3
332,112,1,1.5,3,8.66,1,4
331,116,4,4.5,4.5,9.44,1,5
321,114,5,4.5,4.5,9.16,1,5
324,113,5,4,5,9.25,1,5
328,116,5,4.5,5,9.08,1,5
327,118,4,5,5,9.67,1,5
320,108,3,3.5,5,8.97,1,5
312,109,2,2.5,4,9.02,0,4
315,101,3,3.5,4.5,9.13,0,4
320,112,4,3,4.5,8.86,1,5
324,113,4,4.5,4.5,9.25,1,5
328,116,4,5,3.5,9.6,1,5
319,103,3,2.5,4,8.76,1,4
310,105,2,3,3.5,8.01,0,4
305,102,2,1.5,2.5,7.64,0,3
299,100,2,2,2,7.88,0,3
295,99,1,2,1.5,7.57,0,2
312,100,1,3,3,8.53,1,4
329,113,4,4,3.5,9.36,1,5
319,105,4,4,4.5,8.66,1,4
301,102,3,2.5,2,8.13,1,4
307,105,4,3,3,7.94,0,4
304,107,3,3.5,3,7.86,0,3
298,97,2,2,3,7.21,0,3
305,96,4,3,4.5,8.26,0,3
314,99,4,3.5,4.5,8.73,1,4
318,101,5,3.5,5,8.78,1,4
323,110,4,4,5,8.88,1,5
326,114,4,4,3.5,9.16,1,5
320,110,5,4,4,9.27,1,5
311,103,3,2,4,8.09,0,4
327,116,4,4,4.5,9.48,1,5
316,102,2,4,3.5,8.15,0,4
308,105,4,3,2.5,7.95,1,4
300,101,3,3.5,2.5,7.88,0,3
304,104,3,2.5,2,8.12,0,4
309,105,4,3.5,2,8.18,0,4
318,103,3,4,4.5,8.49,1,4
325,110,4,4.5,4,8.96,1,4
321,102,3,3.5,4,9.01,1,4
323,107,4,3,2.5,8.48,1,4
328,113,4,4,2.5,8.77,1,5
304,103,5,5,3,7.92,0,4
317,106,3,3.5,3,7.89,1,4
311,101,2,2.5,3.5,8.34,1,4
319,102,3,2.5,2.5,8.37,0,4
327,115,4,3.5,4,9.14,0,4
322,112,3,3,4,8.62,1,4
302,110,3,4,4.5,8.5,0,4
307,105,2,2.5,4.5,8.12,1,4
297,99,4,3,3.5,7.81,0,3
298,101,4,2.5,4.5,7.69,1,3
300,95,2,3,1.5,8.22,1,4
301,99,3,2.5,2,8.45,1,4
332,108,5,4.5,4,9.02,1,5
337,117,5,5,5,9.87,1,5
330,120,5,4.5,5,9.56,1,5
312,103,4,4,5,8.43,0,4
327,113,4,4.5,4.5,9.04,0,5
